concept_id,concept_name,cluster
434017,Psychogenic endocrine malfunction,Somatoform Disorder
444079,Psychogenic fugue,Somatoform Disorder
438408,Psychogenic genitourinary tract symptoms,Somatoform Disorder
4248433,Psychogenic impotence,Somatoform Disorder
4049477,Psychogenic polydipsia,Somatoform Disorder
4102828,Psychogenic pruritus,Somatoform Disorder
4003829,Psychogenic purpura,Somatoform Disorder
4296535,Psychogenic pylorospasm,Somatoform Disorder
4033505,Psychogenic sensory disturbance of skin,Somatoform Disorder
440993,Psychogenic skin disease,Somatoform Disorder
4099942,Psychogenic skin symptoms,Somatoform Disorder
4098310,Psychogenic stupor,Somatoform Disorder
437534,Psychogenic symptom of special sense organ,Somatoform Disorder
4302523,Psychogenic syncope,Somatoform Disorder
4278373,Psychogenic torticollis,Somatoform Disorder
40483671,Psychogenic tremor,Somatoform Disorder
4271053,Psychogenic urticaria,Somatoform Disorder
4049367,Psychologic conversion disorder,Somatoform Disorder
442324,Psychologic dyspareunia,Somatoform Disorder
198131,Psychologic vaginismus,Somatoform Disorder
435521,Psychophysiologic disorder,Somatoform Disorder
440981,Psychosomatic musculoskeletal symptoms,Somatoform Disorder
4262415,Recurrent conversion disorder,Somatoform Disorder
4276945,Root work,Somatoform Disorder
4192237,Sangue dormido,Somatoform Disorder
37117178,Secondary dissociative disorder,Somatoform Disorder
4047907,Self-induced non-photosensitive epilepsy,Somatoform Disorder
4238593,Shin-byung,Somatoform Disorder
4140988,Somatic delusion disorder,Somatoform Disorder
441545,Somatization disorder,Somatoform Disorder
4333680,Somatoform autonomic dysfunction,Somatoform Disorder
437536,Somatoform autonomic dysfunction - gastrointestinal tract,Somatoform Disorder
437841,Somatoform autonomic dysfunction - respiratory tract,Somatoform Disorder
435784,Somatoform disorder,Somatoform Disorder
4107375,Somatoform pain disorder,Somatoform Disorder
4202211,Susto,Somatoform Disorder
376382,Tension-type headache,Somatoform Disorder
4177975,Thyrotoxicosis factitia,Somatoform Disorder
4229431,Thyrotoxicosis factitia with thyrotoxic crisis,Somatoform Disorder
762444,Thyrotoxicosis factitia without thyrotoxic crisis,Somatoform Disorder
434625,Undifferentiated somatoform disorder,Somatoform Disorder
4098322,Writer's cramp neurosis,Somatoform Disorder
4101145,"Acute confusional state, post-traumatic",Stress Disorder
4102965,Acute fugue state due to acute stress reaction,Stress Disorder
4100536,Acute post-trauma stress state,Stress Disorder
4103567,Acute situational disturbance,Stress Disorder
440083,Acute stress disorder,Stress Disorder
4102966,Acute stupor state due to acute stress reaction,Stress Disorder
436677,Adjustment disorder,Stress Disorder
44784535,Adjustment disorder in remission,Stress Disorder
436075,Adjustment disorder with anxious mood,Stress Disorder
44784526,Adjustment disorder with anxious mood in remission,Stress Disorder
442306,Adjustment disorder with depressed mood,Stress Disorder
44782518,Adjustment disorder with depressed mood in remission,Stress Disorder
435799,Adjustment disorder with disturbance of conduct,Stress Disorder
36684319,Adjustment disorder with mixed anxiety and depressed mood,Stress Disorder
436076,Adjustment disorder with mixed disturbance of emotions AND conduct,Stress Disorder
44784531,Adjustment disorder with mixed disturbance of emotions and conduct in remission,Stress Disorder
433454,Adjustment disorder with mixed emotional features,Stress Disorder
4083876,Adjustment disorder with physical complaints,Stress Disorder
437258,Adjustment disorder with withdrawal,Stress Disorder
437549,Adjustment disorder with work inhibition,Stress Disorder
4305082,Adjustment reaction in infancy,Stress Disorder
4305083,Adjustment reaction of adolescence,Stress Disorder
4304013,Adjustment reaction of adult life,Stress Disorder
4304014,Adjustment reaction of childhood,Stress Disorder
4138168,Adjustment reaction to medical therapy,Stress Disorder
4103570,Adjustment reaction with aggression,Stress Disorder
4103571,Adjustment reaction with antisocial behavior,Stress Disorder
4102970,Adjustment reaction with destructiveness,Stress Disorder
441543,Adjustment reaction with physical symptoms,Stress Disorder
434339,Adolescent - emotional problem,Stress Disorder
4333000,Behavioral syndrome associated with physiological disturbance and physical factors,Stress Disorder
4117108,Caregiver stress syndrome,Stress Disorder
4151722,Childhood disinhibited attachment disorder,Stress Disorder
433758,Childhood emotional disorder,Stress Disorder
443414,Chronic post-traumatic stress disorder,Stress Disorder
4138454,Chronic stress disorder,Stress Disorder
40484109,Complex posttraumatic stress disorder,Stress Disorder
4338035,Depersonalization-derealization syndrome,Stress Disorder
4092152,Derealization syndrome,Stress Disorder
4077203,Dissociative anesthesia,Stress Disorder
4091700,Dissociative confusion,Stress Disorder
44782938,Dissociative disorder in remission,Stress Disorder
4077963,Dissociative stupor,Stress Disorder
4078451,Dissociative trance,Stress Disorder
46284310,EBD - emotional behavioural difficulties,Stress Disorder
4099957,Elective mutism due to an adjustment reaction,Stress Disorder
4148937,Flashbacks,Stress Disorder
4099958,Hospitalism,Stress Disorder
4218746,Hwa-byung,Stress Disorder
43020452,Identity disorder of childhood,Stress Disorder
37117155,Illness anxiety disorder,Stress Disorder
4246598,Misery and unhappiness reaction of childhood,Stress Disorder
4024443,Occupation-related stress disorder,Stress Disorder
4091701,Occupational neurosis,Stress Disorder
37311515,Persistent adjustment disorder,Stress Disorder
4238682,Physical AND emotional exhaustion state,Stress Disorder
436676,Posttraumatic stress disorder,Stress Disorder
4202389,"Posttraumatic stress disorder, delayed onset",Stress Disorder
433751,Prolonged depressive adjustment reaction,Stress Disorder
37395653,Psychogenic fugue co-occurrent and due to stress reaction,Stress Disorder
4216421,Reactive attachment disorder,Stress Disorder
4185575,Reactive attachment disorder of early childhood,Stress Disorder
4249458,Reactive attachment disorder of infancy,Stress Disorder
4103849,Reactive attachment disorder of infancy OR early childhood,Stress Disorder
4009182,"Reactive attachment disorder of infancy OR early childhood, disinhibited type",Stress Disorder
4049386,"Reactive attachment disorder of infancy OR early childhood, inhibited type",Stress Disorder
35622667,Severe bodily distress disorder,Stress Disorder
4213392,Short duration flashbacks,Stress Disorder
4100089,Sibling jealousy,Stress Disorder
4152371,Stress and adjustment reaction,Stress Disorder
432600,Stress reaction causing mixed disturbance of emotion and conduct,Stress Disorder
44784629,Stress reaction with psychomotor agitation,Stress Disorder
439437,Stress-related problem,Stress Disorder
4100363,"Subacute confusional state, post-traumatic",Stress Disorder
439691,Adolescent emancipation disorder,Conduct Disorder
37110482,Adolescent onset conduct-dissocial disorder,Conduct Disorder
37110483,Adolescent onset conduct-dissocial disorder with limited prosocial emotions,Conduct Disorder
37110484,Adolescent onset conduct-dissocial disorder with normal prosocial emotions,Conduct Disorder
435535,Aggressive type unsocialized behavior disorder,Conduct Disorder
433451,Aggressive unsocial conduct disorder,Conduct Disorder
4252409,Aggressor identification syndrome,Conduct Disorder
4105183,Childhood disorder of conduct and emotion,Conduct Disorder
42538606,Childhood onset conduct-dissocial disorder,Conduct Disorder
37110480,Childhood onset conduct-dissocial disorder with limited prosocial emotions,Conduct Disorder
37110481,Childhood onset conduct-dissocial disorder with normal prosocial emotions,Conduct Disorder
443617,Conduct disorder,Conduct Disorder
4338038,Conduct disorder - in family context,Conduct Disorder
4335176,Conduct disorder - unsocialized,Conduct Disorder
44782933,Conduct disorder in remission,Conduct Disorder
439800,"Conduct disorder, adolescent-onset type",Conduct Disorder
437843,"Conduct disorder, childhood-onset type",Conduct Disorder
4279455,"Conduct disorder, group type",Conduct Disorder
4254395,"Conduct disorder, solitary aggressive type",Conduct Disorder
4268025,"Conduct disorder, undifferentiated type",Conduct Disorder
438729,Early adult emancipation disorder,Conduct Disorder
4099964,Group delinquency,Conduct Disorder
438132,Hyperkinetic conduct disorder,Conduct Disorder
4099966,Neurotic delinquency,Conduct Disorder
440697,Nonaggressive unsocial conduct disorder,Conduct Disorder
4297828,Pinocchio syndrome,Conduct Disorder
432877,Socialized behavior disorder,Conduct Disorder
4135232,Unaggressive type unsocialized behavior disorder,Conduct Disorder
4146721,Unsocial childhood truancy,Conduct Disorder
436959,Compulsive gambling,Impulse Control Disorder
437259,Disruptive behavior disorder,Impulse Control Disorder
37396201,Disruptive mood dysregulation disorder,Impulse Control Disorder
42536613,Gambling disorder predominantly offline,Impulse Control Disorder
42536614,Gambling disorder predominantly online,Impulse Control Disorder
42536615,Gaming disorder,Impulse Control Disorder
433752,Impulse control disorder,Impulse Control Disorder
37311943,Impulse control disorder caused by cocaine,Impulse Control Disorder
37311942,Impulse control disorder caused by psychoactive substance,Impulse Control Disorder
37311941,Impulse control disorder caused by stimulant,Impulse Control Disorder
37311940,Impulse control disorder caused by synthetic cathinone,Impulse Control Disorder
4117518,Impulsive character,Impulse Control Disorder
440989,Intermittent explosive disorder,Impulse Control Disorder
438746,Isolated explosive disorder,Impulse Control Disorder
434632,Kleptomania,Impulse Control Disorder
4338019,Organic emotionally labile disorder,Impulse Control Disorder
4197184,Pseudobulbar affect,Impulse Control Disorder
434629,Pyromania,Impulse Control Disorder
4229728,Self-control behavior: abuse,Impulse Control Disorder
441547,Oppositional defiant disorder,Oppositional Defiant Disorder
37110475,Oppositional defiant disorder co-occurrent with chronic irritability-anger,Oppositional Defiant Disorder
